name,compressed_bit_size,original_bit_theory,avg_bit_per_entry,time_quantlization,time_val2index,time_encoding,time_used
R_1_E_0_S_37_B_13.pt,793864952,1086324736,11.692488268995838,4.032939910888672,7.178506135940552,39.08183574676514,50.29328179359436
R_0_E_0_S_2_B_108.pt,943210078,1086324736,13.89212704809476,3.25219988822937,8.336784839630127,37.47599935531616,49.06498408317566
R_1_E_0_S_5_B_108.pt,950454834,1086324736,13.99883187783731,2.297259569168091,7.055527925491333,39.19623613357544,48.54902362823486
R_0_E_0_S_2_B_83.pt,965021538,1086324736,14.213378464393173,2.545360565185547,7.658172845840454,39.1204137802124,49.3239471912384
R_1_E_0_S_2_B_58.pt,943959984,1086324736,13.903172084263392,3.043510675430298,9.572852373123169,37.69604229927063,50.3124053478241
R_1_E_0_S_40_B_42.pt,786932288,1086324736,11.590380105272683,3.5743417739868164,8.429818391799927,40.29420804977417,52.29836821556091
R_1_E_0_S_41_B_76.pt,798987946,1086324736,11.767942597967318,4.078685283660889,4.350585699081421,44.46774935722351,52.89702033996582
R_1_E_0_S_3_B_91.pt,1000773770,1086324736,14.739957389684257,3.959942102432251,8.235132694244385,40.85211157798767,53.04718637466431
R_0_E_0_S_14_B_18.pt,854123078,1086324736,12.5800037457676,5.022377967834473,6.829692363739014,42.222230195999146,54.07430052757263
R_0_E_0_S_0_B_53.pt,1065930474,1086324736,15.699621870711043,3.1160147190093994,9.77469539642334,41.382976055145264,54.273686170578
R_1_E_0_S_50_B_114.pt,170596738,234897408,11.620169976503103,0.759528636932373,1.5187444686889648,10.250108003616333,12.528381109237671
R_1_E_0_S_43_B_30.pt,167125282,235053056,11.376174202985048,1.207953929901123,2.3034615516662598,9.495387554168701,13.006803035736084
R_1_E_0_S_17_B_85.pt,167480794,235053056,11.40037381177465,2.3047056198120117,1.8139138221740723,8.88990330696106,13.008522748947144
R_0_E_0_S_38_B_75.pt,167513104,235053056,11.402573145017948,0.4039125442504883,1.531191349029541,13.072303533554077,15.007407426834106
